City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Khatanga,RU,2021-10-23 17:25:57,71.9667,102.5,11.7,92,100,17.16
177,Mitsamiouli,KM,2021-10-23 17:25:57,-11.3847,43.2844,80.89,74,20,14.97
178,Arlit,NE,2021-10-23 17:21:16,18.7369,7.3853,95.31,10,50,5.3
179,Riyadh,SA,2021-10-23 17:22:35,24.6877,46.7219,84.34,20,5,9.78
180,Necochea,AR,2021-10-23 17:25:58,-38.5473,-58.7368,62.04,56,85,10.11
181,Petropavlovsk-Kamchatskiy,RU,2021-10-23 17:25:58,53.0452,158.6483,28.99,100,75,4.47
182,Pacific Grove,US,2021-10-23 17:25:58,36.6177,-121.9166,61.45,83,1,1.99
183,Jiexiu,CN,2021-10-23 17:25:59,37.0244,111.9125,49.53,67,95,3.87
184,Katsuura,JP,2021-10-23 17:25:59,35.1333,140.3,56.19,59,25,10.29
185,Pangnirtung,CA,2021-10-23 17:25:59,66.1451,-65.7125,30.2,86,90,6.91
186,Kahului,US,2021-10-23 17:26:00,20.8947,-156.47,77.85,80,20,11.5
187,Kualakapuas,ID,2021-10-23 17:26:00,-3.0091,114.3876,78.96,93,93,1.86
188,Haines Junction,CA,2021-10-23 17:26:01,60.7522,-137.5108,24.75,93,100,0.0
189,Port Hardy,CA,2021-10-23 17:26:01,50.6996,-127.4199,48.38,93,40,6.91
190,Don Sak,TH,2021-10-23 17:26:02,9.3168,99.6918,79.18,85,99,6.87
191,Port Elizabeth,ZA,2021-10-23 17:26:03,-33.918,25.5701,62.1,72,20,26.46
192,Homer,US,2021-10-23 17:21:47,59.6425,-151.5483,41.04,91,90,3.44
193,Quatre Cocos,MU,2021-10-23 17:26:03,-20.2078,57.7625,75.31,79,17,10.33
194,Batemans Bay,AU,2021-10-23 17:26:03,-35.7167,150.1833,60.98,92,100,9.53
195,Otane,NZ,2021-10-23 17:26:04,-39.8833,176.6333,54.01,72,100,4.5
196,Hobyo,SO,2021-10-23 17:26:04,5.3505,48.5268,80.28,77,11,10.89
197,Upata,VE,2021-10-23 17:26:05,8.0086,-62.3989,81.97,68,86,7.23
198,Srivardhan,IN,2021-10-23 17:26:05,18.0333,73.0167,76.96,80,24,7.81
199,Gainesville,US,2021-10-23 17:26:05,29.6516,-82.3248,84.78,51,1,1.01
200,Lumby,CA,2021-10-23 17:26:06,50.2498,-118.969,48.79,95,100,4.61
201,Nieuwpoort,BE,2021-10-23 17:26:06,51.1244,2.7735,55.42,84,90,2.3
202,Wamba,NG,2021-10-23 17:23:43,8.9333,8.6,75.16,84,61,1.92
203,Dikson,RU,2021-10-23 17:26:07,73.5069,80.5464,10.2,87,100,12.86
204,Chuy,UY,2021-10-23 17:26:07,-33.6971,-53.4616,62.8,68,100,1.83
205,Vao,NC,2021-10-23 17:26:07,-22.6667,167.4833,71.51,79,94,15.88
206,Cessnock,AU,2021-10-23 17:21:35,-32.8333,151.35,65.52,98,16,3.51
207,Maykor,RU,2021-10-23 17:26:08,59.0059,55.88,39.58,80,12,10.58
208,Upernavik,GL,2021-10-23 17:22:06,72.7868,-56.1549,18.73,81,75,4.59
209,Chapada Dos Guimaraes,BR,2021-10-23 17:26:08,-15.4606,-55.7497,89.26,34,50,10.69
210,Longyearbyen,SJ,2021-10-23 17:26:09,78.2186,15.6401,19.24,79,40,4.61
211,Ellisras,ZA,2021-10-23 17:26:09,-23.6649,27.7443,89.4,8,0,10.83
212,Clyde River,CA,2021-10-23 17:26:09,70.4692,-68.5914,23.76,80,96,15.37
213,Olafsvik,IS,2021-10-23 17:26:10,64.8945,-23.7142,45.18,92,99,13.33
214,Geraldton,AU,2021-10-23 17:26:10,-28.7667,114.6,57.61,88,0,5.75
215,Fremont,US,2021-10-23 17:24:03,37.5483,-121.9886,64.15,74,20,4.0
216,Linqiong,CN,2021-10-23 17:26:11,30.4159,103.4609,60.78,82,100,1.52
217,Kruisfontein,ZA,2021-10-23 17:26:11,-34.0033,24.7314,59.88,72,3,19.6
