City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,82,5,5.37,clear sky
290,Saint-Leu,RE,-21.15,55.2833,74.23,94,18,2.48,few clouds
291,Tongchuan,CN,35.0806,109.0897,45.72,82,34,1.97,scattered clouds
292,Lethem,GY,3.3803,-59.7968,85.86,56,79,6.6,broken clouds
293,Birjand,IR,32.8663,59.2211,39.67,16,0,9.22,clear sky
294,Loding,NO,67.3,14.75,32.65,74,20,7.0,few clouds
295,Rawson,AR,-43.3002,-65.1023,62.01,26,62,10.49,broken clouds
296,Cayambe,EC,0.05,-78.1333,51.06,91,91,0.98,moderate rain
297,La Baule-Escoublac,FR,47.2922,-2.364,46.35,93,0,3.44,clear sky
298,Houston,US,29.7633,-95.3633,84.65,82,40,4.0,thunderstorm
299,Nueve De Julio,AR,-35.4444,-60.8831,66.7,48,35,8.41,scattered clouds
300,Halifax,CA,44.6453,-63.5724,62.49,96,100,4.0,overcast clouds
301,Masakin,TN,35.7292,10.5808,73.6,88,40,16.11,scattered clouds
302,Malanje,AO,-9.5402,16.341,65.97,96,82,1.83,moderate rain
303,Svidnik,SK,49.3082,21.5703,43.84,82,17,4.94,few clouds
304,Valle Hermoso,MX,25.6667,-97.8333,89.74,55,22,14.56,few clouds
305,San Cristobal,VE,7.7669,-72.225,78.98,80,93,3.13,overcast clouds
306,Yaan,NG,7.3833,8.5667,71.02,93,52,2.35,broken clouds
307,Brownsville,US,25.9018,-97.4975,87.98,63,75,4.0,broken clouds
308,Grand Gaube,MU,-20.0064,57.6608,75.6,75,92,5.01,overcast clouds
309,Kysyl-Syr,RU,63.8986,122.7617,34.47,85,100,10.74,overcast clouds
310,Toora-Khem,RU,52.4675,96.11,29.91,94,90,1.99,overcast clouds
311,Nishihara,JP,26.1842,127.7558,72.68,69,75,8.05,broken clouds
312,Sandnessjoen,NO,66.0217,12.6316,40.98,92,100,1.99,light rain
313,Meulaboh,ID,4.1363,96.1285,76.8,87,100,2.37,overcast clouds
314,Port Lincoln,AU,-34.7333,135.8667,56.97,70,1,11.05,clear sky
315,Waynesville,US,35.4887,-82.9887,67.28,40,4,1.01,clear sky
316,Wageningen,NL,51.9667,5.6667,48.85,94,44,5.75,scattered clouds
317,Partenit,UA,44.578,34.3446,56.21,82,95,5.41,overcast clouds
318,Khipro,PK,25.8285,69.3772,73.31,52,0,9.71,clear sky
319,Tandil,AR,-37.3217,-59.1332,53.53,62,41,15.9,scattered clouds
320,Vikulovo,RU,56.8167,70.6107,44.11,77,8,14.47,clear sky
321,Pangnirtung,CA,66.1451,-65.7125,24.64,91,98,4.59,overcast clouds
322,Bilibino,RU,68.0546,166.4372,-9.74,100,97,1.32,overcast clouds
323,Puerto Carreno,CO,6.189,-67.4859,85.06,64,50,11.23,scattered clouds
324,Raton,US,36.9034,-104.4391,68.34,24,1,1.01,clear sky
325,Belyy Yar,RU,53.6039,91.3903,44.49,61,0,17.9,clear sky
326,Beyneu,KZ,45.3167,55.2,51.01,28,0,11.45,clear sky
327,Esna,EG,25.2934,32.554,71.62,41,0,11.9,clear sky
328,Constitucion,CL,-35.3333,-72.4167,55.89,71,0,17.38,clear sky
329,Rudkobing,DK,54.9364,10.7102,46.38,72,44,11.03,scattered clouds
330,Manokwari,ID,-0.8667,134.0833,79.11,76,67,2.17,broken clouds
331,Fort Nelson,CA,58.8053,-122.7002,44.19,70,40,5.75,scattered clouds
332,Xiamen,CN,24.4798,118.0819,69.26,82,90,2.24,overcast clouds
333,Buchanan,LR,5.8808,-10.0467,77.23,90,100,4.5,moderate rain
334,Ponta Do Sol,PT,32.6667,-17.1,70.43,66,32,7.63,scattered clouds
335,Krasnoselkup,RU,65.7,82.4667,32.4,99,100,7.14,light snow
336,Lucea,JM,18.451,-78.1736,87.66,72,95,3.0,overcast clouds
337,Pandamatenga,BW,-18.5278,25.627,77.31,44,54,2.1,light rain
338,College,US,64.8569,-147.8028,37.9,78,75,0.0,broken clouds
339,Ankazoabo,MG,-22.2833,44.5167,65.75,67,0,2.37,clear sky
340,Turukhansk,RU,65.8167,87.9833,32.4,98,100,12.44,snow
341,Ukiah,US,39.1502,-123.2078,57.43,92,90,9.22,overcast clouds
342,Vaitape,PF,-16.5167,-151.75,77.86,77,88,6.29,overcast clouds
343,Ordu,TR,40.9086,37.6845,39.7,76,0,4.36,clear sky
344,Anloga,GH,5.7947,0.8973,79.02,77,97,8.03,overcast clouds
345,Goma,CD,-1.6792,29.2228,63.55,85,12,2.95,few clouds
346,Kaitangata,NZ,-46.2817,169.8464,55.83,74,100,2.59,overcast clouds
347,Mahajanga,MG,-15.7167,46.3167,77.02,83,20,4.61,few clouds
